Table with row headers in column A and column headers in row 4,,,,,,,,,,,
"CORE BASED STATISTICAL AREAS (CBSAs) AND COMBINED STATISTICAL AREAS (CSAs), ",,,,,,,,,,,
DECEMBER 2009,,,,,,,,,,,
CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS,County Status
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,1,,,Northampton County,Pennsylvania,42095,Central
10940,,,"Alma, MI",Micropolitan Statistical Area,2,,,Gratiot County,Michigan,26057,Central
10980,,,"Alpena, MI",Micropolitan Statistical Area,2,,,Alpena County,Michigan,26007,Central
11020,,,"Altoona, PA",Metropolitan Statistical Area,1,,,Blair County,Pennsylvania,42013,Central
11060,,,"Altus, OK",Micropolitan Statistical Area,2,,,Jackson County,Oklahoma,40065,Central
11100,,,"Amarillo, TX",Metropolitan Statistical Area,1,,,Armstrong County,Texas,48011,Outlying
11100,,,"Amarillo, TX",Metropolitan Statistical Area,1,,,Carson County,Texas,48065,Outlying
11100,,,"Amarillo, TX",Metropolitan Statistical Area,1,,,Potter County,Texas,48375,Central
11100,,,"Amarillo, TX",Metropolitan Statistical Area,1,,,Randall County,Texas,48381,Central
11140,,,"Americus, GA",Micropolitan Statistical Area,2,,,Schley County,Georgia,13249,Outlying
11140,,,"Americus, GA",Micropolitan Statistical Area,2,,,Sumter County,Georgia,13261,Central
11180,,112,"Ames, IA",Metropolitan Statistical Area,1,,"Ames-Boone, IA",Story County,Iowa,19169,Central
11220,,104,"Amsterdam, NY",Micropolitan Statistical Area,2,,"Albany-Schenectady-Amsterdam, NY",Montgomery County,New York,36057,Central
11260,,,"Anchorage, AK",Metropolitan Statistical Area,1,,,Anchorage Municipality,Alaska,02020,Central
11260,,,"Anchorage, AK",Metropolitan Statistical Area,1,,,Matanuska-Susitna Borough,Alaska,02170,Outlying
11300,,294,"Anderson, IN",Metropolitan Statistical Area,1,,"Indianapolis-Anderson-Columbus, IN",Madison County,Indiana,18095,Central
11340,,273,"Anderson, SC",Metropolitan Statistical Area,1,,"Greenville-Spartanburg-Anderson, SC",Anderson County,South Carolina,45007,Central
11380,,,"Andrews, TX",Micropolitan Statistical Area,2,,,Andrews County,Texas,48003,Central
11420,,258,"Angola, IN",Micropolitan Statistical Area,2,,"Fort Wayne-Huntington-Auburn, IN",Steuben County,Indiana,18151,Central
11460,,220,"Ann Arbor, MI",Metropolitan Statistical Area,1,,"Detroit-Warren-Flint, MI",Washtenaw County,Michigan,26161,Central
11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,1,,,Calhoun County,Alabama,01015,Central
11540,,118,"Appleton, WI",Metropolitan Statistical Area,1,,"Appleton-Oshkosh-Neenah, WI",Calumet County,Wisconsin,55015,Central
11540,,118,"Appleton, WI",Metropolitan Statistical Area,1,,"Appleton-Oshkosh-Neenah, WI",Outagamie County,Wisconsin,55087,Central
11580,,,"Arcadia, FL",Micropolitan Statistical Area,2,,,DeSoto County,Florida,12027,Central
11620,,,"Ardmore, OK",Micropolitan Statistical Area,2,,,Carter County,Oklahoma,40019,Central
11620,,,"Ardmore, OK",Micropolitan Statistical Area,2,,,Love County,Oklahoma,40085,Outlying
11660,,,"Arkadelphia, AR",Micropolitan Statistical Area,2,,,Clark County,Arkansas,05019,Central
11700,,120,"Asheville, NC",Metropolitan Statistical Area,1,,"Asheville-Brevard, NC",Buncombe County,North Carolina,37021,Central
11700,,120,"Asheville, NC",Metropolitan Statistical Area,1,,"Asheville-Brevard, NC",Haywood County,North Carolina,37087,Central
11700,,120,"Asheville, NC",Metropolitan Statistical Area,1,,"Asheville-Brevard, NC",Henderson County,North Carolina,37089,Central
